currency,ticker,name,type,tenor,floating_leg_tenor,Floating leg
CHF,SFSW1 Curncy,CHF SWAP (VS 6M LIB)1Y,IRS,1y,6m,6M CHF Libor
CHF,SFSW2 Curncy,CHF SWAP (VS 6M LIB) 2Y,IRS,2y,6m,6M CHF Libor
CHF,SFSW3 Curncy,CHF SWAP (VS 6M LIB) 3Y,IRS,3y,6m,6M CHF Libor
CHF,SFSW4 Curncy,CHF SWAP (VS 6M LIB) 4Y,IRS,4y,6m,6M CHF Libor
CHF,SFSW5 Curncy,CHF SWAP (VS 6M LIB) 5Y,IRS,5y,6m,6M CHF Libor
CHF,SFSW6 Curncy,CHF SWAP (VS 6M LIB) 6Y,IRS,6y,6m,6M CHF Libor
CHF,SFSW7 Curncy,CHF SWAP (VS 6M LIB) 7Y,IRS,7y,6m,6M CHF Libor
CHF,SFSW8 Curncy,CHF SWAP (VS 6M LIB) 8Y,IRS,8y,6m,6M CHF Libor
CHF,SFSW9 Curncy,CHF SWAP (VS 6M LIB) 9Y,IRS,9y,6m,6M CHF Libor
CHF,SFSW10 Curncy,CHF SWAP (VS 6M LIB) 10Y,IRS,10y,6m,6M CHF Libor
CHF,SFSW15 Curncy,CHF SWAP (VS 6M LIB) 15Y,IRS,15y,6m,6M CHF Libor
CHF,SFSW20 Curncy,CHF SWAP (VS 6M LIB) 20Y,IRS,20y,6m,6M CHF Libor
CHF,SFSW30 Curncy,CHF SWAP (VS 6M LIB) 30Y,IRS,30y,6m,6M CHF Libor
CHF,SFSW1V3 Curncy,CHF SWAP (vs 3M LIB) 1YR,IRS,1y,3m,3M CHF Libor
CHF,SFSW2V3 Curncy,CHF SWAP (vs 3M LIB) 2YR,IRS,2y,3m,3M CHF Libor
CHF,SFSW3V3 Curncy,CHF SWAP (VS 3M LIB) 3YR,IRS,3y,3m,3M CHF Libor
CHF,SFSW4V3 Curncy,CHF SWAP (vs 3M LIB) 4YR,IRS,4y,3m,3M CHF Libor
CHF,SFSW5V3 Curncy,CHF SWAP (vs 3M LIB) 5YR,IRS,5y,3m,3M CHF Libor
CHF,SFSW6V3 Curncy,CHF SWAP (vs 3M LIB) 6YR,IRS,6y,3m,3M CHF Libor
CHF,SFSW7V3 Curncy,CHF SWAP (vs 3M LIB) 7YR,IRS,7y,3m,3M CHF Libor
CHF,SFSW8V3 Curncy,CHF SWAP (vs 3M LIB) 8YR,IRS,8y,3m,3M CHF Libor
CHF,SFSW9V3 Curncy,CHF SWAP (vs 3M LIB) 9YR,IRS,9y,3m,3M CHF Libor
CHF,SFSW10V3 Curncy,CHF SWAP (vs 3M LIB) 10Y,IRS,10y,3m,3M CHF Libor
CHF,SFSW15V3 Curncy,CHF SWAP (vs 3M LIB) 15Y,IRS,15y,3m,3M CHF Libor
