Date,SPX_Index,BEST_EPS,PbyB,USD_LIBOR,USD_JPY_Curncy,
1/29/2010,1073.87,77.61,2.0687,0.22906,90.27,6
2/1/2010,1089.19,78.01,2.0958,0.22906,90.61,2
2/2/2010,1103.32,78.1,2.123,0.23094,90.38,3
2/3/2010,1097.28,78.15,2.1114,0.22906,90.98,4
2/4/2010,1063.11,78.18,2.0451,0.22844,89.06,5
2/5/2010,1066.19,78.21,2.0511,0.22844,89.25,6
2/8/2010,1056.74,78.22,2.0325,0.22844,89.26,2
2/9/2010,1070.52,78.2,2.0589,0.22844,89.7,3
2/10/2010,1068.14,78.18,2.0543,0.22844,89.94,4
2/11/2010,1078.47,78.15,2.0742,0.23063,89.77,5
2/12/2010,1075.51,78.13,2.0684,0.23188,89.96,6
2/16/2010,1094.87,77.79,2.0897,0.22875,90.14,3
2/17/2010,1099.51,77.8,2.0986,0.22875,91.26,4
2/18/2010,1106.75,77.89,2.1124,0.22875,91.81,5
2/19/2010,1109.17,77.9,2.1169,0.22875,91.52,6
2/22/2010,1108.02,77.91,2.1147,0.22875,91.14,2
2/23/2010,1094.6,77.93,2.0892,0.22875,90.22,3
2/24/2010,1105.24,77.95,2.1095,0.22875,90.15,4
2/25/2010,1102.94,77.95,2.1051,0.22875,89.08,5
2/26/2010,1104.49,78.01,2.1081,0.22875,88.97,6
3/1/2010,1115.71,78.02,2.1269,0.22813,89.13,2
3/2/2010,1118.31,78.03,2.1319,0.22813,88.85,3
3/3/2010,1118.79,78.03,2.1328,0.22813,88.47,4
3/4/2010,1122.97,78.04,2.1406,0.22813,89.02,5
3/5/2010,1138.7,78.05,2.1705,0.22906,90.28,6
3/8/2010,1138.51,78.06,2.1702,0.23,90.31,2
3/9/2010,1140.45,78.09,2.1739,0.23,89.97,3
3/10/2010,1145.61,78.04,2.1835,0.23,90.52,4
3/11/2010,1150.24,77.99,2.1923,0.23,90.51,5
3/12/2010,1149.99,77.99,2.1918,0.23,90.56,6
3/15/2010,1150.51,77.99,2.1926,0.23031,90.53,2
3/16/2010,1159.46,77.98,2.2096,0.23563,90.31,3
3/17/2010,1166.21,77.97,2.2225,0.23744,90.31,4
3/18/2010,1165.83,77.97,2.2218,0.23975,90.39,5
3/19/2010,1159.9,77.96,2.2104,0.24506,90.55,6
3/22/2010,1165.81,77.94,2.2177,0.24719,90.14,2
3/23/2010,1174.17,78.03,2.2336,0.24606,90.4,3
3/24/2010,1167.72,78.05,2.2213,0.24619,92.3,4
3/25/2010,1165.73,78.01,2.2178,0.24694,92.73,5
3/26/2010,1166.59,78.01,2.2194,0.24688,92.52,6
3/29/2010,1173.22,77.98,2.2304,0.24788,92.46,2
3/30/2010,1173.27,77.98,2.2305,0.24863,92.77,3
3/31/2010,1169.43,77.98,2.2043,0.24863,93.47,4
4/1/2010,1178.1,78.12,2.22,0.24863,93.82,5
4/5/2010,1187.44,78.08,2.2355,0.24863,94.37,2
4/6/2010,1189.44,78.07,2.2393,0.25075,93.79,3
4/7/2010,1182.45,78.05,2.2262,0.25138,93.36,4
4/8/2010,1186.44,78.03,2.2337,0.25013,93.38,5
4/9/2010,1194.37,78.08,2.2487,0.25288,93.18,6
4/12/2010,1196.48,78.05,2.2526,0.25298,93.24,2
4/13/2010,1197.3,78.06,2.2542,0.25438,93.2,3
4/14/2010,1210.65,78.18,2.2793,0.25594,93.23,4
4/15/2010,1211.67,78.35,2.2813,0.25625,93.03,5
4/16/2010,1192.13,78.41,2.2444,0.25563,92.17,6
4/19/2010,1197.52,78.92,2.2547,0.2575,92.4,2
4/20/2010,1207.18,79.31,2.2728,0.25875,93.22,3
4/21/2010,1205.95,79.46,2.2705,0.26063,93.19,4
4/22/2010,1208.67,79.72,2.2757,0.2625,93.49,5
4/23/2010,1217.28,79.91,2.2919,0.26438,93.97,6
4/26/2010,1212.05,80.14,2.282,0.26469,93.96,2
4/27/2010,1183.71,80.27,2.2287,0.26672,93.27,3
4/28/2010,1191.36,80.51,2.2431,0.27313,94.03,4
4/29/2010,1206.78,80.63,2.2721,0.27766,94.03,5
4/30/2010,1186.69,80.7,2.2341,0.28,93.85,6
5/3/2010,1202.26,80.88,2.2616,0.28,94.54,2
5/4/2010,1173.6,80.9,2.2076,0.28469,94.54,3
5/5/2010,1165.9,80.96,2.1931,0.29094,93.81,4
5/6/2010,1128.15,81.01,2.122,0.29706,90.58,5
5/7/2010,1110.89,81.05,2.0896,0.34875,91.59,6
5/10/2010,1159.73,81.15,2.1813,0.34,93.3,2
